1996/1997,8,,Hamburger SV,MSV Duisburg,1,1
1996/1997,8,,SV Werder Bremen,FC Bayern Muenchen,3,0
1996/1997,8,,Schalke 04,Bayer Leverkusen,1,2
1996/1997,8,,SC Freiburg,FC Hansa Rostock,1,0
1996/1997,8,,TSV 1860 Muenchen,VfB Stuttgart,2,5
1996/1997,8,,Fortuna Duesseldorf,Borussia Mgladbach,1,0
1996/1997,8,,Borussia Dortmund,FC St. Pauli,2,1
1996/1997,9,,VfL Bochum,Borussia Dortmund,1,0
1996/1997,9,,VfB Stuttgart,SC Freiburg,4,2
1996/1997,9,,Bayer Leverkusen,FC Hansa Rostock,4,1
1996/1997,9,,FC St. Pauli,Fortuna Duesseldorf,3,0
1996/1997,9,,Borussia Mgladbach,TSV 1860 Muenchen,1,0
1996/1997,9,,Schalke 04,Karlsruher SC,0,1
1996/1997,9,,Arminia Bielefeld,SV Werder Bremen,3,1
1996/1997,9,,FC Bayern Muenchen,Hamburger SV,2,1
1996/1997,9,,MSV Duisburg,1.FC Koeln,3,0
1996/1997,10,,SC Freiburg,Borussia Mgladbach,1,0
1996/1997,10,,TSV 1860 Muenchen,FC St. Pauli,4,2
1996/1997,10,,Borussia Dortmund,MSV Duisburg,2,0
1996/1997,10,,Hamburger SV,Arminia Bielefeld,2,2
1996/1997,10,,SV Werder Bremen,Schalke 04,3,0
1996/1997,10,,Karlsruher SC,Bayer Leverkusen,1,1
1996/1997,10,,FC Hansa Rostock,VfB Stuttgart,2,2
1996/1997,10,,1.FC Koeln,FC Bayern Muenchen,2,4
1996/1997,10,,Fortuna Duesseldorf,VfL Bochum,2,2
1996/1997,11,,VfL Bochum,TSV 1860 Muenchen,2,2
1996/1997,11,,Bayer Leverkusen,VfB Stuttgart,0,0
1996/1997,11,,FC St. Pauli,SC Freiburg,2,0
1996/1997,11,,Borussia Mgladbach,FC Hansa Rostock,2,0
1996/1997,11,,Karlsruher SC,SV Werder Bremen,1,3
1996/1997,11,,Schalke 04,Hamburger SV,2,0
1996/1997,11,,Arminia Bielefeld,1.FC Koeln,1,4
1996/1997,11,,MSV Duisburg,Fortuna Duesseldorf,0,0
1996/1997,11,,FC Bayern Muenchen,Borussia Dortmund,0,0
1996/1997,12,,Borussia Dortmund,Arminia Bielefeld,5,0
1996/1997,12,,Hamburger SV,Karlsruher SC,2,0
1996/1997,12,,VfB Stuttgart,Borussia Mgladbach,5,0
1996/1997,12,,TSV 1860 Muenchen,MSV Duisburg,1,1
1996/1997,12,,Fortuna Duesseldorf,FC Bayern Muenchen,0,2
1996/1997,12,,1.FC Koeln,Schalke 04,3,1
1996/1997,12,,SC Freiburg,VfL Bochum,0,1
1996/1997,12,,SV Werder Bremen,Bayer Leverkusen,1,1
1996/1997,12,,FC Hansa Rostock,FC St. Pauli,3,1
1996/1997,13,,VfL Bochum,FC Hansa Rostock,1,0
1996/1997,13,,FC Bayern Muenchen,TSV 1860 Muenchen,1,1
1996/1997,13,,FC St. Pauli,VfB Stuttgart,2,1
1996/1997,13,,SV Werder Bremen,Hamburger SV,0,0
1996/1997,13,,Schalke 04,Borussia Dortmund,1,3
1996/1997,13,,Arminia Bielefeld,Fortuna Duesseldorf,1,0
1996/1997,13,,MSV Duisburg,SC Freiburg,1,4
1996/1997,13,,Bayer Leverkusen,Borussia Mgladbach,3,0
1996/1997,13,,Karlsruher SC,1.FC Koeln,4,1
1996/1997,14,,Borussia Mgladbach,FC St. Pauli,0,0
