1. Round,,,,,,
21/01/2012,,,,,,
19:00,Málaga CF,-0,Real Madrid,0:4 (0:4),,
21:00,FC Barcelona,-0,Sevilla FC,0:0 (0:0),,
23/10/2011,,,,,,
11:00,Real Betis,-0,Rayo Vallecano,0:2 (0:0),,
15:00,Real Sociedad,-0,Getafe CF,0:0 (0:0),,
17:00,Atlético Madrid,-0,RCD Mallorca,1:1 (1:1),,
17:00,CA Osasuna,-0,Real Zaragoza,3:0 (3:0),,
19:00,Valencia CF,-0,Athletic Bilbao,1:1 (0:0),,
21:00,Villarreal CF,-0,Levante UD,0:3 (0:2),,
10. Round,,,,,,
25/10/2011,,,,,,
19:00,Granada CF,-0,FC Barcelona,0:1 (0:1),,
21:00,Sevilla FC,-0,Racing Santander,2:2 (1:0),,
26/10/2011,,,,,,
19:00,Real Zaragoza,-0,Valencia CF,0:1 (0:0),,
19:00,Getafe CF,-0,CA Osasuna,2:2 (0:1),,
19:00,Levante UD,-0,Real Sociedad,3:2 (0:1),,
19:00,Rayo Vallecano,-0,Málaga CF,2:0 (1:0),,
21:00,RCD Mallorca,-0,Sporting Gijón,1:2 (1:0),,
21:00,Real Madrid,-0,Villarreal CF,3:0 (3:0),,
27/10/2011,,,,,,
19:00,Espanyol Barcelona,-0,Real Betis,1:0 (0:0),,
21:00,Athletic Bilbao,-0,Atlético Madrid,3:0 (0:0),,
11. Round,,,,,,
29/10/2011,,,,,,
17:00,Valencia CF,-0,Getafe CF,3:1 (2:1),,
17:00,Villarreal CF,-0,Rayo Vallecano,2:0 (1:0),,
19:00,FC Barcelona,-0,RCD Mallorca,5:0 (3:0),,
21:00,Real Sociedad,-0,Real Madrid,0:1 (0:1),,
30/10/2011,,,,,,
11:00,Sporting Gijón,-0,Athletic Bilbao,1:1 (0:0),,
15:00,CA Osasuna,-0,Levante UD,2:0 (2:0),,
17:00,Racing Santander,-0,Real Betis,1:0 (0:0),,
19:00,Atlético Madrid,-0,Real Zaragoza,3:1 (2:0),,
21:00,Málaga CF,-0,Espanyol Barcelona,2:1 (1:1),,
31/10/2011,,,,,,
20:00,Sevilla FC,-0,Granada CF,1:2 (1:0),,
12. Round,,,,,,
05/11/2011,,,,,,
17:00,RCD Mallorca,-0,Sevilla FC,0:0 (0:0),,
19:00,Real Betis,-0,Málaga CF,0:0 (0:0),,
21:00,Levante UD,-0,Valencia CF,0:2 (0:1),,
06/11/2011,,,,,,
11:00,Real Madrid,-0,CA Osasuna,7:1 (3:1),,
15:00,Granada CF,-0,Racing Santander,0:0 (0:0),,
15:00,Real Zaragoza,-0,Sporting Gijón,2:2 (1:2),,
17:00,Rayo Vallecano,-0,Real Sociedad,4:0 (1:0),,
17:00,Espanyol Barcelona,-0,Villarreal CF,0:0 (0:0),,
19:00,Athletic Bilbao,-0,FC Barcelona,2:2 (1:1),,
21:00,Getafe CF,-0,Atlético Madrid,3:2 (1:1),,
13. Round,,,,,,
19/11/2011,,,,,,
17:00,Villarreal CF,-0,Real Betis,1:0 (1:0),,
19:00,FC Barcelona,-0,Real Zaragoza,4:0 (2:0),,
21:00,Valencia CF,-0,Real Madrid,2:3 (0:1),,
20/11/2011,,,,,,
11:00,Real Sociedad,-0,Espanyol Barcelona,0:0 (0:0),,
15:00,Sporting Gijón,-0,Getafe CF,2:1 (1:1),,
15:00,CA Osasuna,-0,Rayo Vallecano,0:0 (0:0),,
17:00,Sevilla FC,-0,Athletic Bilbao,1:2 (1:1),,
19:00,Atlético Madrid,-0,Levante UD,3:2 (0:0),,
21/11/2011,,,,,,
20:00,Racing Santander,-0,Málaga CF,1:3 (0:0),,
07/12/2011,,,,,,
18:30,Granada CF,-0,RCD Mallorca,2:2 (0:1),,
14. Round,,,,,,
26/11/2011,,,,,,
17:00,Rayo Vallecano,-0,Valencia CF,1:2 (0:1),,
19:00,Real Madrid,-0,Atlético Madrid,4:1 (1:1),,
21:00,Getafe CF,-0,FC Barcelona,1:0 (0:0),,
27/11/2011,,,,,,
11:00,Real Betis,-0,Real Sociedad,2:3 (0:0),,
15:00,Levante UD,-0,Sporting Gijón,4:0 (1:0),,
17:00,RCD Mallorca,-0,Racing Santander,2:1 (1:0),,
17:00,Espanyol Barcelona,-0,CA Osasuna,1:2 (0:1),,
18:45,Athletic Bilbao,-0,Granada CF,0:1 (0:1),,
