1. Round,,,,
20/08/2010,,,,
14:30,SC Freiburg,-0,1. FSV Mainz 05,1:0 (0:0)
14:30,1. FC Nürnberg,-0,1. FC Köln,3:1 (2:1)
07/11/2010,,,,
14:30,Hannover 96,-0,Borussia Dortmund,0:4 (0:1)
16:30,Bayer Leverkusen,-0,1. FC Kaiserslautern,3:1 (1:1)
16:30,VfB Stuttgart,-0,Werder Bremen,6:0 (3:0)
12. Round,,,,
12/11/2010,,,,
19:30,Borussia Dortmund,-0,Hamburger SV,2:0 (0:0)
13/11/2010,,,,
14:30,Werder Bremen,-0,Eintracht Frankfurt,0:0 (0:0)
14:30,VfL Wolfsburg,-0,FC Schalke 04,2:2 (2:1)
14:30,1. FC Köln,-0,Bor. Mönchengladbach,0:4 (0:0)
14:30,1. FC Kaiserslautern,-0,VfB Stuttgart,3:3 (0:2)
14:30,FC St. Pauli,-0,Bayer Leverkusen,0:1 (0:0)
17:30,1. FSV Mainz 05,-0,Hannover 96,0:1 (0:1)
14/11/2010,,,,
14:30,1899 Hoffenheim,-0,SC Freiburg,0:1 (0:0)
16:30,Bayern München,-0,1. FC Nürnberg,3:0 (1:0)
13. Round,,,,
20/11/2010,,,,
14:30,FC Schalke 04,-0,Werder Bremen,4:0 (2:0)
14:30,Eintracht Frankfurt,-0,1899 Hoffenheim,0:4 (0:1)
14:30,Bor. Mönchengladbach,-0,1. FSV Mainz 05,2:3 (0:0)
14:30,SC Freiburg,-0,Borussia Dortmund,1:2 (1:0)
14:30,Hannover 96,-0,Hamburger SV,3:2 (1:1)
14:30,1. FC Nürnberg,-0,1. FC Kaiserslautern,1:3 (0:3)
17:30,Bayer Leverkusen,-0,Bayern München,1:1 (1:1)
21/11/2010,,,,
14:30,VfB Stuttgart,-0,1. FC Köln,0:1 (0:0)
16:30,FC St. Pauli,-0,VfL Wolfsburg,1:1 (1:0)
14. Round,,,,
26/11/2010,,,,
19:30,1. FSV Mainz 05,-0,1. FC Nürnberg,3:0 (1:0)
27/11/2010,,,,
14:30,Bayern München,-0,Eintracht Frankfurt,4:1 (1:1)
14:30,Hamburger SV,-0,VfB Stuttgart,4:2 (3:1)
14:30,1899 Hoffenheim,-0,Bayer Leverkusen,2:2 (1:2)
14:30,Hannover 96,-0,SC Freiburg,3:0 (1:0)
14:30,1. FC Kaiserslautern,-0,FC Schalke 04,5:0 (2:0)
17:30,Borussia Dortmund,-0,Bor. Mönchengladbach,4:1 (1:1)
28/11/2010,,,,
14:30,Werder Bremen,-0,FC St. Pauli,3:0 (2:0)
16:30,1. FC Köln,-0,VfL Wolfsburg,1:1 (0:0)
15. Round,,,,
03/12/2010,,,,
19:30,FC St. Pauli,-0,1. FC Kaiserslautern,1:0 (0:0)
04/12/2010,,,,
14:30,VfB Stuttgart,-0,1899 Hoffenheim,1:1 (1:1)
14:30,VfL Wolfsburg,-0,Werder Bremen,0:0 (0:0)
14:30,Eintracht Frankfurt,-0,1. FSV Mainz 05,2:1 (1:1)
14:30,Bor. Mönchengladbach,-0,Hannover 96,1:2 (1:0)
14:30,SC Freiburg,-0,Hamburger SV,1:0 (1:0)
17:30,FC Schalke 04,-0,Bayern München,2:0 (0:0)
05/12/2010,,,,
14:30,Bayer Leverkusen,-0,1. FC Köln,3:2 (1:1)
16:30,1. FC Nürnberg,-0,Borussia Dortmund,0:2 (0:1)
16. Round,,,,
10/12/2010,,,,
19:30,Hannover 96,-0,VfB Stuttgart,2:1 (1:0)
11/12/2010,,,,
14:30,Bayern München,-0,FC St. Pauli,3:0 (1:0)
14:30,Hamburger SV,-0,Bayer Leverkusen,2:4 (0:1)
14:30,1899 Hoffenheim,-0,1. FC Nürnberg,1:1 (0:0)
14:30,1. FC Köln,-0,Eintracht Frankfurt,1:0 (0:0)
14:30,1. FC Kaiserslautern,-0,VfL Wolfsburg,0:0 (0:0)
17:30,Borussia Dortmund,-0,Werder Bremen,2:0 (1:0)
12/12/2010,,,,
14:30,SC Freiburg,-0,Bor. Mönchengladbach,3:0 (2:0)
16:30,1. FSV Mainz 05,-0,FC Schalke 04,0:1 (0:1)
17. Round,,,,
17/12/2010,,,,
19:30,Bor. Mönchengladbach,-0,Hamburger SV,1:2 (0:0)
18/12/2010,,,,
14:30,FC Schalke 04,-0,1. FC Köln,3:0 (1:0)
14:30,Werder Bremen,-0,1. FC Kaiserslautern,1:2 (1:1)
14:30,VfL Wolfsburg,-0,1899 Hoffenheim,2:2 (0:2)
14:30,Eintracht Frankfurt,-0,Borussia Dortmund,1:0 (0:0)
14:30,1. FC Nürnberg,-0,Hannover 96,3:1 (2:0)
17:30,FC St. Pauli,-0,1. FSV Mainz 05,2:4 (1:3)
19/12/2010,,,,
14:30,Bayer Leverkusen,-0,SC Freiburg,2:2 (1:1)
16:30,VfB Stuttgart,-0,Bayern München,3:5 (0:3)
18. Round,,,,
14/01/2011,,,,
19:30,Bayer Leverkusen,-0,Borussia Dortmund,1:3 (0:0)
15/01/2011,,,,
14:30,VfL Wolfsburg,-0,Bayern München,1:1 (0:1)
14:30,Werder Bremen,-0,1899 Hoffenheim,2:1 (1:0)
14:30,1. FC Nürnberg,-0,Bor. Mönchengladbach,0:1 (0:1)
14:30,FC St. Pauli,-0,SC Freiburg,2:2 (1:0)
14:30,VfB Stuttgart,-0,1. FSV Mainz 05,1:0 (0:0)
17:30,FC Schalke 04,-0,Hamburger SV,0:1 (0:0)
16/01/2011,,,,
14:30,Eintracht Frankfurt,-0,Hannover 96,0:3 (0:2)
16:30,1. FC Kaiserslautern,-0,1. FC Köln,1:1 (0:1)
19. Round,,,,
21/01/2011,,,,
19:30,Hamburger SV,-0,Eintracht Frankfurt,1:0 (0:0)
22/01/2011,,,,
14:30,Hannover 96,-0,FC Schalke 04,0:1 (0:1)
14:30,Borussia Dortmund,-0,VfB Stuttgart,1:1 (1:0)
14:30,1. FSV Mainz 05,-0,VfL Wolfsburg,0:1 (0:0)
14:30,SC Freiburg,-0,1. FC Nürnberg,1:1 (1:0)
14:30,Bayern München,-0,1. FC Kaiserslautern,5:1 (1:0)
17:30,1. FC Köln,-0,Werder Bremen,3:0 (2:0)
23/01/2011,,,,
14:30,Bor. Mönchengladbach,-0,Bayer Leverkusen,1:3 (0:2)
16:30,1899 Hoffenheim,-0,FC St. Pauli,2:2 (1:0)
20. Round,,,,
28/01/2011,,,,
19:30,Bayer Leverkusen,-0,Hannover 96,2:0 (2:0)
29/01/2011,,,,
14:30,Werder Bremen,-0,Bayern München,1:3 (0:0)
